model,variant,map,mean_ap_difference_vs_native,difference_ci_low,difference_ci_high,queries_improved,queries_worsened
CLIP,model_native,0.0355761597,0.0000000000,0.0000000000,0.0000000000,0,0
CLIP,grayscale,0.0414167107,0.0058405511,-0.0032734504,0.0206405368,4,7
CLIP,center_square,0.0373809355,0.0018047759,-0.0019025252,0.0068461859,4,7
DINO,model_native,0.1217754706,0.0000000000,0.0000000000,0.0000000000,0,0
DINO,grayscale,0.1080516770,-0.0137237936,-0.0930085054,0.0743388041,4,7
DINO,center_square,0.1365159317,0.0147404611,-0.0221084271,0.0515939566,8,3
PLIP,model_native,0.0705467667,0.0000000000,0.0000000000,0.0000000000,0,0
PLIP,grayscale,0.0398658015,-0.0306809652,-0.0715004887,0.0107194793,2,9
PLIP,center_square,0.0695112743,-0.0010354924,-0.0033110709,0.0014618471,3,8
UNI,model_native,0.1240452025,0.0000000000,0.0000000000,0.0000000000,0,0
UNI,grayscale,0.0974073345,-0.0266378680,-0.0583086048,0.0018810571,4,7
UNI,center_square,0.1263232184,0.0022780159,-0.0022984877,0.0087556223,9,2
